Countries,manners,independence,work,responsibility,imagination,respect,money,determination,religious,unselfishness,obedience,continent,y1981,y1982,y1983,y1984
Argentina,47.5,42.2,49,57.4,23.1,43.9,15.8,17.1,18.7,7,18.5,America,028882,0026149,023735,021912
Australia,52.8,24.5,12,29.4,13.4,66.9,15.4,18.1,22,37.8,41.1,Australia,002618,0002673,002798,002903
Hungary,48,49.9,29,44.7,6.9,30.8,33.1,16.6,8.3,14,30.9,Europe,004393,003664,002955,002450
Japan,68.6,46.6,16.4,68.4,10.6,40.7,31.6,24.4,6.4,27.4,6.3,Asia,012928,012355,012082,011882
South Korea,68.7,45.1,40,54.1,6.2,24.9,33.6,26.7,14.2,11.9,12.9,Asia,009270,008953,008752,008462
Mexico,80.6,15.4,18.7,55.7,13.2,39.4,11.9,10.2,35.8,25,43.6,America,161154,153483,148265,144184
South Africa,82,20.5,30.5,29.8,5.5,50.7,14.8,17.7,35.2,18.9,36.2,Africa,086500,082959,080038,077684
Sweden,54.1,18.6,3.8,62.9,16.5,70.9,31.8,16.7,5.3,10.9,13.3,Europe,000749,000733,000726,000734
United States,60,31.8,25.8,43.5,9.9,54.7,9.6,15.2,39.3,18.9,26.1,America,050360,049398,048429,047749
